Content_ID,Content_Type,Title,Hindi_Title,Theatrical_Release_Year,Hoichoi_Live_Date,Hoichoi_Ending_Date,Season_Number,Total_Episodes,Duration_Total_or_Per_Ep,Genre,Sub_Genre,Age_Rating,Age_Rating_Descriptors,Available_on_hoichoi,Link,Cast,Director,Writer,Production_House,Synopsis_Long,Synopsis_Short,Trailer_Link,Languages,Brand_Name,Literature_Adapted,Primary_Mood,Narrative_Tone,Ending_Type,Binge_Score,Family_Element_Score,AI_Generated_Keywords,Monetization_Model,Release_Type,Is_Bangladeshi,Recommended_Titles,Promotional_Rights
HOI011,Movie,Onko Ki Kothin,N/A,2025,2025-08-08,2030-08-06,N/A,N/A,105 min,Drama,Drama,U,Suitable for all ages,Yes,N/A,"Riddhiman Banerjee, Gitashree Chakraborty, Tapomoy Deb, Parno Mittra",Saurav Palodhi,N/A,Rana Sarkar / Dag Creative Media,"Three slum kids Babin, Dolly, and Tyre dream of climbing up the ladder to become a doctor, nurse, and engineer. When Babin's father becomes seriously ill, a stolen oxygen cylinder leads them on a brave adventure that challenges their courage, friendship, and determination to beat the odds.","Three slum kids risk everything to save a life, testing their dreams, friendship and courage against all odds.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,World Premiere,No,"Saba, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan, Kolkatay Kohinoor",No limitation on promotional clips
HOI012,Movie,Taandob,N/A,2025,2025-08-07,TBD,N/A,N/A,129 min,Action | Thriller | Political,Action | Thriller | Political,U/A 16+,"Violence, Foul Language, Smoking, Alcohol, Mature themes",Yes,N/A,"Shakib Khan, Jaya Ahsan, Fazlur Rahman Babu, Rakib Hossain Evon, Sabila Nur",Raihan Rafi,N/A,"Chorki / Alpha-i Studios Ltd. / Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","A young man comes to Dhaka in search of a job but gets blamed for a violent TV station attack. While trying to prove his innocence, he uncovers a web of corruption involving top officials. But behind it all is a dangerous imposter using his name and planning something even bigger.","Falsely accused in a live TV station attack, a man races to prove his innocence as a hidden impostor stirs chaos.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"action, political, nan, thriller",SVOD,World Premiere,No,,"Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI013,Movie,The Eken: Benaras e Bibhishika,N/A,2025,2025-07-11,Perpetual,N/A,N/A,116 min,Detective Comedy,Detective Comedy,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Anirban Chakrabarti, Suhotra Mukhopadhyay, Somak Ghosh, Saswata Chatterjee, Gaurav Chakrabarty, Ishaa Saha, Rishav Basu",Joydeep Mukherjee,N/A,hoichoi Studios,"Eken Babu, on what should’ve been a peaceful Holi getaway to Benaras with Bapi and Pramatha, is drawn into a gripping mystery. Coded messages, hidden motives, and a looming threat to the Masaan Holi festival push him into a race against time—to outwit a conspiracy and protect the holy city.","Eken Babu visits Benaras for Holi, but a trail of cryptic clues pulls him into a deadly festival conspiracy.",,Bengali,N/A,Yes,Classic,Reflective,Twist,8,3,"mystery, nan, detective comedy",SVOD,World Premiere,No,"The Eken: Ruddhaswas Rajasthan, The Eken",no restrictions
HOI014,Movie,Asha Jaoar Majhe,N/A,2014,2025-07-04,2030-02-27,N/A,N/A,82 min,Drama,Drama,U,Suitable for all ages,Yes,N/A,"Ritwick Chakraborty, Basabdatta Chatterjee",Aditya Vikram Sengupta,N/A,For Films,"In Kolkata, a married couple lives in opposite shifts, their lives unfolding in solitude. Yet in the quiet hush of early mornings, their fleeting moments together offer tenderness amidst the monotony. A poetic, sensory meditation on love, labour, and quiet resilience.","A couple living in opposite shifts finds quiet intimacy in brief mornings, where love breathes without words.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Ei Raat Tomar Amaar, Shontaan, Kolkatay Kohinoor",No limitation on promotional clips
HOI015,Movie,Killbill Society,N/A,2025,2025-06-13,TBD,N/A,N/A,133 min,Thriller Drama,Thriller Drama,U/A 16+,"Alcohol, Smoking, Foul Language, Violence, Mature themes",Yes,N/A,"Parambrata Chattopadhyay, Koushani Mukherjee, Sandipta Sen, Biswanath Basu, Anindya Chatterjee",Srijit Mukherji,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","A sequel to Hemlock Society, Killbill Society follows Mritunjoy Kar, formerly Ananda Kar, a contract killer who’s lost his taste for death. He meets Poorna Aich, a fading actress who hires him to end her life. But as their lives entwine, a dark pact turns into an unlikely story of healing, love, and redemption.","A sequel to Hemlock Society, where Ananda Kar—now Mritunjoy Kar—meets Poorna, and a strange bond rewrites fate.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"thriller drama, nan",SVOD,World Premiere,No,"Habji Gabji, Shibpur, Biporjoy (2017)","Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI016,Movie,Athhoi,N/A,2024,2025-05-30,2030-05-29,N/A,N/A,156 min,Action Drama,Action Drama,A 18+,"Alcohol, Smoking, Foul Language, Violence, Sexual Content",Yes,N/A,"Anirban Bhattacharya, Sohini Sarkar, Arna Mukhopadhyay, Ditipriya Roy, Arpan Ghoshal, Mimi Dutta",Arna Mukhopadhyay,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd. / Jio Studios","In the village of Vinsura, Dr. Athhoi Lodha, a Dalit doctor, marries Diyamona despite what society says. But his jealous friend Gogo fills his mind with doubt about Diyamona’s loyalty. Blinded by mistrust, Athhoi makes choices that lead to heartbreak and tragedy.","A modern Bengali adaptation of Shakespeare's Othello, Athhoi explores love, betrayal, and manipulation.",,Bengali,N/A,Yes,Classic,Reflective,Open,5,5,"action drama, nan",SVOD,World Premiere,No,,"Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI017,Movie,Kabuliwala,N/A,2023,2025-05-16,2030-05-15,N/A,N/A,106 min,Drama,Drama,U,Suitable for all ages,Yes,N/A,"Mithun Chakraborty, Anumegha Kahali, Abir Chatterjee, Sohini Sarkar",Suman Ghosh,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd. / Jio Studios","Set in 1965 Kolkata, Kabuliwala tells the moving story of Rahmat, an Afghan man whose fatherly love for a little girl named Mini crosses cultural and geographic boundaries, capturing the essence of humanity and the unbreakable bonds of love.",An Afghan man and a young Kolkata girl share a heartwarming friendship in this Tagore story that crosses all boundaries.,,Bengali,N/A,Yes,Classic,Reflective,Open,5,5,"nan, drama",SVOD,World Premiere,No,"Putulnacher Itikatha, Sahaj Paather Gappo, Brahma Janen Gopon Kommoti, Rajlokhi O Srikanto, Krishnakanter Will",not more than 5 minutes
HOI018,Movie,Shotyi Bole Shotyi Kichhu Nei,N/A,2025,2025-04-18,TBD,N/A,N/A,126 min,Legal Thriller,Legal Thriller,A 18+,"Foul Language, Alcohol, Smoking, Sexual Abuse, Violence",Yes,N/A,"Kaushik Ganguly, Parambrata Chattopadhyay, Ritwick Chakraborty, Ananya Chatterjee, Anirban Chakrabarti, Rahul Arunoday Banerjee, Arjun Chakrabarty, Sauraseni Maitra, Kaushik Sen, Phalguni Chatterjee, Kanchan Mullick, Suhotra Mukhopadhyay",Srijit Mukherji,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Twelve jury members, each with their own past, must decide the fate of a man in a tense trial. As secrets come out and right and wrong get blurry, emotions run high. What starts as a simple case turns into a storm of truth, guilt, and surprises no one expected. Will justice win in the end?","Twelve jury members face tough choices as justice, truth, and past memories collide—leading to shocking twists.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, legal thriller",SVOD,World Premiere,No,,"Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI019,Movie,Ei Raat Tomar Amaar,N/A,2025,2025-03-28,Perpetual,N/A,N/A,102 min,Drama,Drama,U/A 13+,"Smoking, Alcohol, Mature Themes",Yes,N/A,"Anjan Dutt, Aparna Sen, Parambrata Chattopadhyay, Shruti Das",Parambrata Chattopadhyay,N/A,hoichoi Studios,"An elderly couple in their 70s spend a night at their hillside home, looking back on 50 years of love, pain, and missed chances. As they talk about old regrets and lost dreams, they also find the quiet, lasting love that has kept them together through life’s ups and downs.","An elderly couple looks back on old wounds and secrets, as one night tests their love, trust, and the life they built.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,World Premiere,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Shontaan, Kolkatay Kohinoor",no restrictions
HOI020,Movie,Bagha Jatin,N/A,2023,2025-03-07,2031-12-30,N/A,N/A,136 min,Action Drama,Action Drama,U/A 13+,"Violence, Alcohol, Smoking, Mature themes, Gore, Foul Language",Yes,N/A,"Dev, Sudipta Chakraborty, Sreeja Dutta, Carl A. Harte, Rohaan Bhattacharjee",Arun Roy,N/A,Dev Entertainment Ventures Pvt. Ltd.,"Jatindranath Mukherjee, known as Bagha Jatin, stood up against British rule and led a bold fight for India’s freedom. This is the inspiring story of a fearless man whose courage sparked a revolution—and who gave his life so that the country could be free from foreign rule.","Bagha Jatin stands up to British rule, leading a brave fight that lights the spark for India’s freedom struggle.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action drama, nan",SVOD,Library,No,,No limitation on promotional clips
HOI021,Movie,Shontaan,N/A,2024,2025-02-28,2030-02-27,N/A,N/A,141 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Mithun Chakraborty, Anashua Majumdar, Ritwick Chakraborty, Subhashree Ganguly, Kharaj Mukherjee, Ahana Dey, Sohini Sengupta",Raj Chakraborty,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","A loving father is thrown out by the very son he raised with care. As he takes the fight to court, old memories and pain come back. Will this case bring father and son back together, or will the hurt from the past break their bond for good? A moving story of family, pride, and forgiveness.","Abandoned by his son, a loving father goes to court for justice. Will it heal their bond or tear them further apart?",,Bengali,N/A,No,Drama,Neutral,Open,5,8,"nan, drama",SVOD,World Premiere,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Kolkatay Kohinoor","Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI022,Movie,Chaalchitro,N/A,2024,2025-02-21,2037-02-06,N/A,N/A,123 min,Thriller Crime,Thriller Crime,A 18+,"Violence, Foul Language, Smoking, Alcohol, Mature themes, Sexual Content, Gore",Yes,N/A,"Tota Roy Choudhury, Anirban Chakrabarti, Shantanu Maheshwari, Raima Sen, Ziaul Faruq Apurba, Inderjeet Bose, Tanika Basu, Swastika Dutta, Anindita Bose, Priya Banerjee",Pratim D. Gupta,N/A,Friends Communication Production,"When single women in Kolkata are murdered in ways that match old crimes, a special cop team takes on the case. As they study each spooky scene, dark secrets and past wounds come back to life—turning their search for a killer into a dangerous race to stay alive.",A team of super cops investigate a case of serial killing of single women in Kolkata while battling personal crises.,,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, thriller crime",SVOD,World Premiere,No,,No limitation on promotional clips
HOI023,Movie,Habji Gabji,N/A,2022,2025-01-03,2031-01-02,N/A,N/A,124 min,Thriller Drama,Thriller Drama,U,Suitable for all ages,Yes,N/A,"Subhashree Ganguly, Parambrata Chattopadhyay, Samontak Dyuti Maitra",Raj Chakraborty,N/A,Raj Chakraborty Entertainment and Srijan Arts,"Ambitious parents Ahana and Aditya give their son Tipu a phone to keep him entertained. At first, it’s just for fun. But soon, Tipu gets hooked on mobile games, and what started as a small habit turns into a serious addiction—one that changes their family life in ways they never expected.","A busy couple lets their son play mobile games, but fun turns into addiction—bringing trouble they didn’t see coming",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,8,"thriller drama, nan",SVOD,World Premiere,No,"Killbill Society, Shibpur, Biporjoy (2017)",Maximum 90 secs for clips
HOI024,Movie,Tekka,N/A,2024,2024-12-27,2031-12-26,N/A,N/A,133 min,Thriller,Thriller,U/A 13+,"Foul Language, Violence, Smoking, Alcohol",Yes,N/A,"Dev, Swastika Mukherjee, Rukmini Maitra, Paran Bandopadhyay, Tota Roy Choudhury, Aryann Bhowmick, Sreeja Dutta, Loknath Dey",Srijit Mukherji,N/A,Dev Entertainment Ventures Pvt. Ltd.,"A desperate janitor holds a little girl hostage in a big office building, hoping to get his job back. Police rush in, and the media jumps on the story. As the standoff grows, the truth slowly comes out—bringing big twists, hidden secrets, and a fight that grabs everyone’s attention.",A janitor takes a girl hostage after losing his job—things turn wild when her mother fights back by kidnapping his son.,,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, thriller",SVOD,World Digital Premiere,No,"C/O Sir, Glamour, Rawkto Rawhoshyo, Mukhosh (2021), Pratidwandi",No limitation on promotional clips
HOI025,Movie,Kishmish,N/A,2022,2024-11-29,2031-11-28,N/A,N/A,139 min,Romantic Comedy,Romantic Comedy,U,Suitable for all ages,Yes,N/A,"Dev, Rukmini Maitra, Kharaj Mukherjee, Anjana Basu, Kamaleshwar Mukherjee, June Malia",Rahool Mukherjee,N/A,Dev Entertainment Ventures Pvt. Ltd. / M.K. Media,"Tintin, a young comic artist, and Rohini, a smart and ambitious girl, fall in love in college. But when they plan to marry, their parents' painful past comes in the way. As love faces old wounds and family secrets, will they get their happy ending—or lose each other forever?",Tintin and Rohini’s love is tested when their parents’ painful past puts their marriage plans in serious trouble.,,Bengali,N/A,No,Feel-good,Sentimental,Happy,7,8,"nan, romantic comedy",SVOD,Library,No,"Ek Tuku Chhoa Lage, Bapi Bari Jaa",No limitation on promotional clips
HOI026,Movie,Kolkatay Kohinoor,N/A,2019,2024-11-22,2034-11-21,N/A,N/A,126 min,Drama,Drama,U,Suitable for all ages,Yes,N/A,"Soumitra Chatterjee, Sabyasachi Chakrabarty, Barun Chanda, Debdut Ghosh, Indrani Dutta",Santanu Ghosh,N/A,Angurbala Films,A team of historians undertake a dangerous treasure hunt to uncover the mysterious past of the Kohinoor diamond and discover its startling connection to the city of joy!,A team of historians embarks on a dangerous treasure hunt to uncover the mysterious past of the Kohinoor diamond.,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan","Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI027,Movie,Toofan,N/A,2024,2024-09-20,2029-09-18,N/A,N/A,145 min,Action Thriller,Action Thriller,U/A 16+,"Violence, Smoking, Alcohol, Foul Language, Mature themes",Yes,N/A,"Shakib Khan, Mimi Chakraborty, Chanchal Chowdhury, Masuma Rahman Nabila, Misa Sawdagar",Raihan Rafi,N/A,"Chorki / Alpha-i Studios Ltd. / Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Ghalib Bin Goni, born to kill, rises through violence to become Toofan—the most feared mafia don in Bangladesh. From the streets to the top of the underworld, his bloody journey shakes everything around him in this action-packed global Bengali blockbuster.","Toofan comes back to his hometown to fight for justice, facing strong enemies in a fierce battle for revenge and survival.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, action thriller",SVOD,World Premiere,Yes,Pariah,"Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI028,Movie,Pradhan,N/A,2023,2024-08-09,2030-08-08,N/A,N/A,160 min,Social Drama,Social Drama,U/A 13+,"Violence, Smoking, Alcohol, Foul Language",Yes,N/A,"Dev, Paran Bandopadhyay, Mamata Shankar, Anirban Chakrabarti, Soham Chakraborty, Soumitrisha Kundu",Avijit Sen,N/A,Bengal Talkies / Dev Entertainment Ventures Pvt. Ltd.,"Honest cop Deepak Pradhan is posted in the quiet hill town of Dharmapur, only to find it ruled by corruption. With the local leader behind it all, Deepak decides to fight back. In a tough battle for truth, he risks everything to stand up for what’s right and protect the people.","After his transfer to Dharmapur, Deepak Pradhan, a young police officer, faces challenges from the corrupt system.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, social drama",SVOD,World Premiere,No,"Kuler Achaar, Namte Namte, Konttho, Devipaksha",No limitation on promotional clips
HOI029,Movie,Dharmajuddha,N/A,2022,2024-07-20,2030-07-18,N/A,N/A,109 min,Political Drama,Political Drama,U/A 13+,"Violence, Smoking, Alcohol, Foul Language",Yes,N/A,"Swatilekha Sengupta, Ritwick Chakraborty, Subhashree Ganguly, Soham Chakraborty, Parno Mittra, Koushik Roy, Saptarshi Maulik",Raj Chakraborty,N/A,Raj Chakraborty Entertainment and Srijan Arts,"When a riot breaks out in the small town of Ismailpur, four strangers take shelter in an old woman’s house. But as fear and anger grow, they begin to clash with each other. What starts as a night of safety turns into a tense and life-changing experience none of them will forget.","Trapped during a riot, five strangers from rival communities confront fear, prejudice, and survival.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, political drama",SVOD,World Premiere,No,Shankar Mudi,Maximum 90 secs for clips
HOI030,Movie,Pariah,N/A,2024,2024-07-12,2029-07-11,N/A,N/A,135 min,Action Thriller,Action Thriller,A 18+,"Violence, Alcohol, Smoking, Mature themes, Gore, Foul Language",Yes,N/A,"Vikram Chatterjee, Angana Roy, Sreelekha Mitra, Ambarish Bhattacharya, Soumya Mukherjee",Tathagata Mukherjee,N/A,Pramod Films and Dreams On Sale,"When his beloved puppy goes missing and the world turns a blind eye, a common man snaps. Fueled by anger and love, he becomes a one-man army for the voiceless animals. As he dives into the city’s dark side, his quest for justice turns into a gripping fight against cruelty and indifference.","Ignored by society, a man finds hope in caring for animals—telling a story of loneliness, strength, and finding purpose.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, action thriller",SVOD,World Premiere,No,Toofan,No limitation on promotional clips
